;;;"Палитра-Трейд";;;"В начало";;
;;"Прайс-лист на 25.03.09";;;"www.palitra-trade.com";;;
;;"г.Перми т/ф (342)294-60-82, 294-64-14, 296-23-53, 296-26-15";;;;;;
;;"Код ";"Наименование товара";"Артикул";"Цена";;;"Заказ"
"*";1;18586;"Антимоль ЭФФЕКТ 18г Лаванда (сухие духи) 1/50";"                         ";7.6;;;
"*";1;5613;"Антистатик АНТИС К  235мл/320куб.см (Казань) 1/40/24";"СА008 (СА014)            ";37.8;;;
"*";1;14939;"Антистатик ЛИРА Цвет. бальзам 200см куб. 1/24";"                         ";45.9;;;
"*";1;52598;"Аэрозоль от клещей Домовой Прошка 150мл 1/24";"А-006                    ";55;;;
"*";1;30283;"Аэрозоль от комаров Дэфи-антикомар 100мл (Казань) 1/28";"                         ";52.3;;;
"*";1;2347;"Аэрозоль от летающих насек. КРА ДЕО СУПЕР 230мл/320куб.см (Казань) 1/24";"И023С                    ";38.9;;;
"*";1;14692;"Аэрозоль от летающих насек. УБОЙНАЯ СИЛА ( №2 ) 150куб.см. 1/48";"                         ";43.4;;;
"*";1;14693;"Аэрозоль от летающих насек. УБОЙНАЯ СИЛА ( №2 ) 200см куб. 1/48";"                         ";53.4;;;
"*";1;7053;"Аэрозоль от моли АРМОЛЬ 150мл 1/48";"                         ";37.9;;;
"*";1;16241;"Аэрозоль от моли КРА  АНТИМОЛЬ 175мл /245куб.см (Казань) 1/24";"И011                     ";34.2;;;
"*";1;14689;"Аэрозоль от моли УБОЙНАЯ СИЛА ( №3 ) 150см куб. 1/48";"                         ";45.5;;;
"*";1;1046;"Аэрозоль от моли УБОЙНАЯ СИЛА ( №3 ) 200см куб. 1/48";"                         ";50.9;;;
"*";1;43542;"Аэрозоль от полз. и лет. насек. FLOP! унив. 200мл 1/6/24";"402-104                  ";50.2;;;
"*";1;14690;"Аэрозоль от полз. и лет. насек. УБОЙНАЯ СИЛА ( №1 ) унив. 150см куб. 1/48";"                         ";43.4;;;
"*";1;14691;"Аэрозоль от полз. и лет. насек. УБОЙНАЯ СИЛА ( №1 ) унив. 200см куб. 1/48";"                         ";53.4;;;
"*";1;20168;"Аэрозоль от ползающих насек. УБОЙНАЯ СИЛА ( №4 ) 150см куб. 1/48";"                         ";45.5;;;
"*";1;41931;"Бальзам-гель Домовой ""Прошка"" 20 мл после укусов насекомых 1/100";"Л-040                    ";14.2;;;
"*";1;39239;"Брикет АЛТ (восковой) 10г от грызунов 1/100";"                         ";5.2;;;
"*";1;53075;"Брикет АЛТ Варат 5шт (восковой) 50г от грызунов 1/50";"                         ";17.5;;;
"*";1;39234;"Брикет АЛТ Раттидион Тесто-сырные 50г от грызунов 1/50";"                         ";13.9;;;
"*";1;28966;"Брикет БойКот (мягкий)  60г рэтжеле 1/55";"                         ";15.3;;;
"*";1;22605;"Брикет БойКот (мягкий) 100г Ваниль от грызунов 1/50";"                         ";15.3;;;
"*";1;9718;"Брикет БойКот (мягкий) 100г Какао от грызунов 1/50";"                         ";15.3;;;
"*";1;2034;"Брикет БойКот (мягкий) 100г Копченая  Ветчина  от грызунов 1/50";"                         ";15.3;;;
"*";1;3783;"Брикет БойКот (мягкий) 100г Мясо от грызунов 1/50";"                         ";15.3;;;
