;;;"Палитра-Трейд";;;"В начало";;
;;"Прайс-лист на 25.03.09";;;"www.palitra-trade.com";;;
;;"г.Перми т/ф (342)294-60-82, 294-64-14, 296-23-53, 296-26-15";;;;;;
;;"Код ";"Наименование товара";"Артикул";"Цена";;;"Заказ"
"***";" ";" ";"Березакерамика";;;;;
"*";0;58326;"Бордюр ЭЛЕГИЯ голубая";"                         ";30;;;
"*";0;58300;"Бордюр ЭЛЕГИЯ зеленый";"                         ";30;;;
"*";0;58304;"Бордюр ЭЛЕГИЯ розовый";"                         ";30;;;
"*";0;58325;"Вставка ЭЛЕГИЯ голубая 200х300";"                         ";84;;;
"*";0;48672;"Вставка ЭЛЕГИЯ зеленая 200х300";"                         ";84;;;
"*";0;58303;"Вставка ЭЛЕГИЯ розовая 200х300";"                         ";84;;;
"*";0;58329;"Плитка для пола ЛИНОЛЕУМ 300х300 1/15 (1кор.- 1,35кв.м)";"                         ";31.4;;;
"*";0;58330;"Плитка для пола ЭЛЕГИЯ голубая 300х300 1/15 (1кор.- 1,35кв.м)";"                         ";31.4;;;
"*";0;48670;"Плитка для пола ЭЛЕГИЯ зеленая 300х300 1/15 (1кор.- 1,35кв.м)";"                         ";31.4;;;
"*";0;58305;"Плитка для пола ЭЛЕГИЯ розовая 300х300 1/15 (1кор.- 1,35кв.м)";"                         ";31.4;;;
"*";0;58328;"Плитка обл. ЭЛЕГИЯ голубая низ 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"*";0;58327;"Плитка обл. ЭЛЕГИЯ голубая св. верх 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"*";0;58299;"Плитка обл. ЭЛЕГИЯ зеленая низ 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"*";0;48669;"Плитка обл. ЭЛЕГИЯ зеленая св. верх 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"*";0;58302;"Плитка обл. ЭЛЕГИЯ розовая верх 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"*";0;58301;"Плитка обл. ЭЛЕГИЯ розовая низ 200х300 1/20 (1кор.- 1,2кв.м)";"                         ";17.6;;;
"***";" ";" ";"Еврокерамика, Контакт";;;;;
"*";0;58286;"Бордюр АБСТРАКЦИЯ желтый узкий 200х35 ""Барселона"" 1/60";"BR 354G 008 0021         ";24;;;
"*";0;58285;"Бордюр АБСТРАКЦИЯ желтый широкий 200х57 ""Барселона"" 1/30";"BR 354G 008 0021         ";30;;;
"*";0;58292;"Бордюр ВЕТОЧКА голубой 200х57 ""Каррара"" 1/30";"CR 1004G 006 0009        ";30;;;
"*";0;58288;"Бордюр РОМБ желтый 200х57 ""Барселона"" 1/30";"BR 354G 005 0025         ";30;;;
"*";0;58295;"Бордюр ХЛОПОК голубой узкий 200х30 ""Каррара"" 1/60";"CR 1004G 016 0004        ";24;;;
"*";0;58294;"Бордюр ХЛОПОК голубой широкий 200х57 ""Каррара"" 1/30";"CR 1004G 016 0004        ";30;;;
"*";0;58284;"Вставка АБСТРАКЦИЯ желтая ""Барселона"" 1/16";"BR 354G 008 0021         ";84;;;
"*";0;58291;"Вставка ВЕТОЧКА голубая 200х300 ""Каррара"" 1/16";"CR 1004G 006 0009        ";84;;;
